Date,OW2DWL,OW2DSWL
26/06/2000,34.09,34.47
27/06/2000,34.09,34.47
28/06/2000,24.68,25.71
29/06/2000,22.36,23.33
30/06/2000,21.66,22.65
01/07/2000,20.96,21.96
02/07/2000,20.67,21.68
03/07/2000,20.61,21.61
04/07/2000,20.27,21.29
05/07/2000,29.7,29.71
06/07/2000,31.29,31.37
07/07/2000,32.25,32.38
08/07/2000,32.92,33.05
09/07/2000,33.06,33.21
10/07/2000,33.22,33.36
11/07/2000,33.29,33.34
12/07/2000,33.42,33.57
13/07/2000,33.51,33.66
14/07/2000,33.59,33.74
17/07/2000,34.14,34.33
27/07/2000,34.52,34.34
14/09/2000,34.48,34.33
24/10/2003,23.77,24.6
30/10/2003,24.04,24.9
07/11/2003,23.29,24.15
14/11/2003,24.95,25.8
21/11/2003,23.47,24.34
05/12/2003,26.62,27.26
22/12/2003,27.31,28.1
05/01/2004,28.06,28.71
16/01/2004,28.79,29.4
30/01/2004,28.98,29.61
13/02/2004,29.41,30.04
01/03/2004,28.8,29.5
12/03/2004,28.82,29.48
26/03/2004,28.31,29.34
17/08/2004,21.35,22.59
31/08/2004,22.78,23.95
14/09/2004,23.16,24.42
28/09/2004,22.08,23.35
12/10/2004,22.39,23.67
26/10/2004,23.52,24.65
09/11/2004,24.54,25.57
23/11/2004,24.05,25.33
07/12/2004,23.96,25.28
21/12/2004,23.61,24.97
04/01/2005,24.88,26.07
18/01/2005,24,26.19
01/02/2005,23.61,25.06
15/02/2005,23.15,24.61
01/03/2005,22.54,23.97
15/03/2005,21.85,23.37
29/03/2005,21.64,23.22
12/04/2005,21.08,22.73
26/04/2005,21,22.6
09/05/2005,21.15,22.76
24/05/2005,20.51,22.09
07/06/2005,20.29,21.87
21/06/2005,19.65,21.25
28/06/2005,19.07,20.67
05/07/2005,18.48,20.7
19/07/2005,18.13,20.71
02/08/2005,21.62,22.81
16/08/2005,17.36,20.71
30/08/2005,17.44,20.72
12/09/2005,17.29,20.71
27/09/2005,17.45,20.71
11/10/2005,16.4,20.72
25/10/2005,16.07,20.71
08/11/2005,16.23,20.71
22/11/2005,19.93,21.1
06/12/2005,18.24,20.95
20/12/2005,19.62,22.48
03/01/2006,20.55,22.96
17/01/2006,20.27,22.66
31/01/2006,20.78,22.81
14/02/2006,20.03,22.15
28/02/2006,18.45,21.25
14/03/2006,18.24,20.73
28/03/2006,17.89,20.7
11/04/2006,18.21,20.7
25/04/2006,19.33,20.89
09/05/2006,18.06,20.8
23/05/2006,18,20.75
06/06/2006,18.36,20.76
20/06/2006,18.12,20.76
04/07/2006,17.84,20.72
18/07/2006,17.18,
01/08/2006,16.69,20.69
15/08/2006,15.93,20.7
10/10/2006,14.31,20.64
21/11/2006,,20.67
12/02/2007,17.76,21.21
15/04/2007,,20.67
11/04/2008,14.453,
12/04/2008,14.396,19.958
13/04/2008,14.319,19.957
14/04/2008,14.274,19.954
15/04/2008,14.279,19.955
16/04/2008,14.323,19.957
17/04/2008,14.353,19.96
18/04/2008,14.392,19.953
19/04/2008,14.35,19.95
20/04/2008,14.273,19.95
21/04/2008,14.222,19.95
22/04/2008,14.185,19.946
23/04/2008,14.143,19.94
24/04/2008,14.084,19.94
25/04/2008,14.032,19.94
26/04/2008,14.022,19.94
27/04/2008,13.986,19.94
28/04/2008,13.918,19.94
29/04/2008,14.102,19.94
30/04/2008,14.125,19.94
01/05/2008,14.231,19.933
02/05/2008,14.062,19.93
03/05/2008,14.008,19.931
04/05/2008,13.949,19.94
05/05/2008,13.854,19.94
06/05/2008,13.833,19.94
07/05/2008,13.822,19.942
08/05/2008,13.798,19.943
09/05/2008,13.733,19.941
10/05/2008,13.632,19.94
11/05/2008,13.59,19.939
12/05/2008,13.565,19.938
13/05/2008,13.513,19.937
14/05/2008,13.499,19.936
15/05/2008,13.452,19.936
16/05/2008,13.42,19.934
17/05/2008,13.368,19.931
18/05/2008,13.277,19.929
19/05/2008,13.241,19.929
20/05/2008,13.203,19.929
21/05/2008,13.191,19.929
22/05/2008,13.167,19.931
23/05/2008,13.136,19.93
24/05/2008,13.059,19.929
25/05/2008,13.014,19.93
26/05/2008,12.988,19.931
27/05/2008,12.968,19.932
28/05/2008,12.977,19.932
29/05/2008,12.871,19.931
30/05/2008,12.827,19.93
31/05/2008,12.771,19.93
01/06/2008,12.735,19.93
02/06/2008,12.726,19.931
03/06/2008,12.649,19.927
04/06/2008,12.613,19.928
05/06/2008,12.522,19.926
06/06/2008,12.478,19.927
07/06/2008,12.442,19.928
08/06/2008,12.4,19.929
09/06/2008,12.386,19.931
10/06/2008,12.332,19.933
11/06/2008,12.344,19.932
12/06/2008,12.305,19.933
13/06/2008,12.281,19.934
14/06/2008,12.265,19.933
15/06/2008,12.227,19.933
16/06/2008,12.187,19.93
17/06/2008,12.146,19.927
18/06/2008,12.111,19.927
19/06/2008,11.987,19.927
20/06/2008,11.922,19.927
21/06/2008,11.975,19.928
22/06/2008,11.936,19.929
23/06/2008,11.791,19.928
24/06/2008,11.811,19.929
25/06/2008,11.794,19.93
26/06/2008,11.715,19.933
27/06/2008,11.686,19.942
28/06/2008,11.644,19.952
29/06/2008,11.619,19.954
30/06/2008,11.592,19.955
01/07/2008,11.925,20.021
